"Bill of Materials from SM1000-E.sch, 205 parts, as of 6/26/2015 2:19:28 PM"
"Part","Package","Sheet","Side","X (inch)","Y (inch)","X (mm)","Y (mm)","Angle",
"P18","TPAD50","1","Top","    2.4685","    0.6260","   62.7000","   15.9000"," 180.00"
"P19","TPAD50","1","Top","    0.9988","    1.6579","   25.3700","   42.1100","   0.00"
"P20","TPAD50","1","Top","    0.2362","    3.8150","    6.0000","   96.9000"," 180.00"
"PCB1","NOPACKAGE","1","Top","    0.0984","   -0.0197","    2.5000","   -0.5000","   0.00"
"R1","RESC1005X40AN","1","Top","    0.2953","    2.5630","    7.5000","   65.1000","  90.00"
"R2","RESC1005X40AN","1","Top","    0.6299","    2.9724","   16.0000","   75.5000","   0.00"
"R3","RESC1005X40AN","1","Top","    0.8071","    2.5197","   20.5000","   64.0000","   0.00"
"R4","RESC1005X40AN","1","Top","    1.5551","    3.3858","   39.5000","   86.0000","   0.00"
"R5","RESC1005X40AN","1","Top","    1.6417","    3.2677","   41.7000","   83.0000","   0.00"
"R6","RESC1005X40AN","1","Top","    1.7441","    3.0610","   44.3000","   77.7500","   0.00"
"R7","RESC1005X40AN","1","Top","    0.4331","    3.6614","   11.0000","   93.0000"," 270.00"
"R8","RESC1005X40AN","1","Top","    0.3740","    3.7165","    9.5000","   94.4000"," 270.00"
"R9","RESC1005X40AN","2","Top","    1.8701","    1.4567","   47.5000","   37.0000"," 270.00"
"R10","RESC1608X55N","1","Top","    1.4016","    2.4370","   35.6000","   61.9000","   0.00"
"R11","RESC1608X55N","2","Top","    1.5551","    2.0236","   39.5000","   51.4000","  90.00"
"R12","RESC1005X40AN","1","Top","    1.7126","    3.7795","   43.5000","   96.0000","   0.00"
"R13","RESC1005X40AN","1","Top","    1.4961","    3.7795","   38.0000","   96.0000","   0.00"
"R14","RESC1005X40AN","1","Top","    1.1614","    2.5984","   29.5000","   66.0000"," 270.00"
"R15","RESC1005X40AN","1","Top","    1.2559","    3.7598","   31.9000","   95.5000","  90.00"
"R16","RESC1005X40AN","1","Top","    1.0827","    3.7717","   27.5000","   95.8000","  90.00"
"R17","RESC1005X40AN","1","Top","    0.9449","    2.4016","   24.0000","   61.0000","  90.00"
"R18","RESC1608X55N","1","Top","    0.6496","    2.3189","   16.5000","   58.9000","   0.00"
"R19","RESC1608X55N","1","Top","    0.6102","    3.2087","   15.5000","   81.5000"," 180.00"
"R20","RESC1608X55N","1","Top","    0.8465","    3.4685","   21.5000","   88.1000"," 180.00"
"R21","RESC1608X55N","2","Top","    0.7677","    1.5945","   19.5000","   40.5000","   0.00"
"R22","RESC1608X55N","2","Top","    2.1457","    3.2283","   54.5000","   82.0000"," 270.00"
"R23","RESC1005X40AN","2","Top","    1.9882","    1.4567","   50.5000","   37.0000","  90.00"
"R24","RESC1005X40AN","1","Top","    0.5512","    3.6614","   14.0000","   93.0000"," 270.00"
"R25","RESC1005X40AN","1","Top","    0.4921","    3.6614","   12.5000","   93.0000"," 270.00"
"R26","RESC1608X55N","1","Top","    0.6496","    3.6220","   16.5000","   92.0000","  90.00"
"R27","RESC1005X40AN","1","Top","    0.9843","    3.4055","   25.0000","   86.5000"," 270.00"
"R28","RESC1005X40AN","1","Top","    0.9843","    3.4961","   25.0000","   88.8000","  90.00"
"R29","RESC1005X40AN","2","Top","    2.2795","    1.8504","   57.9000","   47.0000"," 270.00"
"R30","RESC1608X55N","1","Top","    1.2638","    3.4843","   32.1000","   88.5000"," 270.00"
"R31","RESC1608X55N","1","Top","    1.0000","    2.5984","   25.4000","   66.0000","   0.00"
"R32","RESC1608X55N","2","Top","    1.6535","    2.0236","   42.0000","   51.4000","  90.00"
"R33","RESC1005X40AN","2","Top","    0.5512","    1.3976","   14.0000","   35.5000","  90.00"
"R34","RESC1005X40AN","2","Top","    0.8661","    1.9685","   22.0000","   50.0000"," 180.00"
"R35","RESC1005X40AN","2","Top","    0.8661","    1.7323","   22.0000","   44.0000"," 180.00"
"R36","RESC1005X40AN","2","Top","    0.8661","    1.8504","   22.0000","   47.0000","   0.00"
"R37","RESC1005X40AN","2","Top","    0.6299","    3.0315","   16.0000","   77.0000","   0.00"
"R38","RESC1005X40AN","2","Top","    2.1811","    2.2047","   55.4000","   56.0000","  90.00"
"R39","RESC3115X70N","2","Top","    1.8701","    3.7598","   47.5000","   95.5000"," 270.00"
"R40","RESC1005X40AN","2","Top","    2.3819","    2.0079","   60.5000","   51.0000"," 270.00"
"R41","RESC1005X40AN","2","Top","    2.3819","    1.8504","   60.5000","   47.0000","  90.00"
"R42","POT3361","2","Top","    1.8701","    1.9488","   47.5000","   49.5000","   0.00"
"R43","RESC1005X40AN","2","Top","    1.9882","    1.6732","   50.5000","   42.5000","  90.00"
"R44","RESC1005X40AN","2","Top","    2.3819","    1.6732","   60.5000","   42.5000","  90.00"
"R45","RESC1005X40AN","2","Top","    2.2638","    1.6732","   57.5000","   42.5000","  90.00"
"R46","POT-3310C","2","Top","    2.1823","    3.8972","   55.4300","   98.9900","  90.00"
"R47","POT3361","2","Top","    1.9488","    1.2008","   49.5000","   30.5000","   0.00"
"R48","RESC1005X40AN","2","Top","    1.7520","    0.9843","   44.5000","   25.0000"," 270.00"
"R49","RESC1005X40AN","2","Top","    1.7520","    1.1024","   44.5000","   28.0000"," 270.00"
"R50","RESC1608X55N","2","Top","    2.2736","    3.2283","   57.7500","   82.0000"," 270.00"
"R51","RESC1005X40AN","2","Top","    0.8858","    1.3622","   22.5000","   34.6000","  90.00"
"R52","POT3361","2","Top","    1.5748","    1.5551","   40.0000","   39.5000","   0.00"
"R53","RESC1005X40AN","2","Top","    2.1850","    1.8504","   55.5000","   47.0000"," 270.00"
"R54","RESC1608X55N","1","Top","    1.7126","    2.9134","   43.5000","   74.0000","  90.00"
"R55","RESC1608X55N","1","Top","    1.7126","    2.7559","   43.5000","   70.0000"," 270.00"
"R56","RESC1005X40AN","2","Top","    0.6102","    3.1496","   15.5000","   80.0000","   0.00"
"R57","RESC1005X40AN","1","Top","    0.7165","    3.0551","   18.2000","   77.6000","  90.00"
"R58","RESC1005X40AN","2","Top","    1.6772","    1.7717","   42.6000","   45.0000","  90.00"
"SH1","NOPACKAGE","1","Top","    0.1378","   -0.0197","    3.5000","   -0.5000","  90.00"
"SH2","NOPACKAGE","2","Top","    0.0197","   -0.0197","    0.5000","   -0.5000","   0.00"
"SH3","NOPACKAGE","2","Top","    0.0591","   -0.0197","    1.5000","   -0.5000"," 180.00"
"SPKR1","NOPACKAGE","1","Top","    0.1772","   -0.0197","    4.5000","   -0.5000","   0.00"
"SW1","SW-LC2259","1","Top","    0.5118","    2.7953","   13.0000","   71.0000","   0.00"
"SW2","TS-026","1","Top","    0.7480","    3.8583","   19.0000","   98.0000","   0.00"
"SW3","SW-LC2259","2","Top","    0.2362","    3.4252","    6.0000","   87.0000"," 270.00"
"SW4","TS-026","1","Top","    0.4724","    3.8583","   12.0000","   98.0000","   0.00"
"SW5","TS-02B","1","Top","    0.5748","    2.4921","   14.6000","   63.3000","   0.00"
"T1","SM-LP-5001","2","Top","    2.1161","    0.4724","   53.7500","   12.0000"," 270.00"
"T2","SM-LP-5001","2","Top","    1.6831","    0.4724","   42.7500","   12.0000"," 270.00"
"U1","LQFP100-14","1","Top","    1.1614","    2.9823","   29.5000","   75.7500","   0.00"
"U2","SOT23-5L","1","Top","    0.7972","    2.3130","   20.2500","   58.7500"," 180.00"
"U3","SOT23-5L","1","Top","    0.7874","    3.6339","   20.0000","   92.3000"," 270.00"
"U4","ECOPACK-11","1","Top","    1.1024","    3.4646","   28.0000","   88.0000","   0.00"
"U5","PSO-DDA","2","Top","    0.5906","    1.9094","   15.0000","   48.5000","   0.00"
"U6","SOT23-6","2","Top","    2.1063","    1.5157","   53.5000","   38.5000"," 180.00"
"U7","SOT23-6","2","Top","    2.2441","    1.1811","   57.0000","   30.0000","   0.00"
"U8","SO08","2","Top","    2.0079","    3.4744","   51.0000","   88.2500","   0.00"
"U9","SOT23-6","2","Top","    2.1260","    2.0276","   54.0000","   51.5000"," 180.00"
"XTAL1","XTAL-FY0800035","1","Top","    1.1614","    2.4213","   29.5000","   61.5000","  90.00"
