Bill of Materials from SM2000.sch, 407 parts, grouped by values, as of 1/28/2016 6:16:19 PM

Part	Value			Device			Package
Q13	RD01MUS2		RD01MUS2		SOT89
Q17	MMBT3906		MMBT3906		SOT23
R1	680,1%			RES-0805		R0805			
R2	680,1%			RES-0805		R0805			
R3	680,1%			RES-0805		R0805			
R4	680,1%			RES-0805		R0805			
R55	680,1%			RES-0805		R0805			
R63	680,1%			RES-0805		R0805			
R74	680,1%			RES-0805		R0805
R5	22,1%			RES-0805		R0805			
R6	22,1%			RES-0805		R0805			
R21	22,1%			RES-0805		R0805			
R24	22,1%			RES-0805		R0805
R7	4.7K,1%			RES-0805		R0805			
R8	4.7K,1%			RES-0805		R0805			
R9	4.7K,1%			RES-0805		R0805			
R10	4.7K,1%			RES-0805		R0805			
R28	4.7K,1%			RES-0805		R0805			
R29	4.7K,1%			RES-0805		R0805			
R89	4.7K,1%			RES-0805		R0805
R11	1K,1%			RES-0805		R0805			
R50	1K,1%			RES-0805		R0805			
R57	1K,1%			RES-0805		R0805			
R87	1K,1%			RES-0805		R0805			
R99	1K,1%			RES-0805		R0805			
R100	1K,1%			RES-0805		R0805			
R106	1K,1%			RES-0805		R0805			
R107	1K,1%			RES-0805		R0805			
R113	1K,1%			RES-0805		R0805
R12	47,1%			RES-0805		R0805			
R62	47,1%			RES-0805		R0805			
R75	47,1%			RES-0805		R0805
R13	0 Ohm			RES-0805		R0805			
R14	0 Ohm			RES-0805		R0805			
R16	0 Ohm			RES-0805		R0805			
R26	0 Ohm			RES-0805		R0805			
R41	0 Ohm			RES-0805		R0805			
R96	0 Ohm			RES-0805		R0805			
R97	0 Ohm			RES-0805		R0805			
R98	0 Ohm			RES-0805		R0805
R15	220,1%			RES-0805		R0805
R17	10K,1%			RES-0805		R0805			
R18	10K,1%			RES-0805		R0805			
R20	10K,1%			RES-0805		R0805			
R22	10K,1%			RES-0805		R0805			
R27	10K,1%			RES-0805		R0805			
R43	10K,1%			RES-0805		R0805			
R46	10K,1%			RES-0805		R0805			
R54	10K,1%			RES-0805		R0805			
R59	10K,1%			RES-0805		R0805			
R76	10K,1%			RES-0805		R0805			
R80	10K,1%			RES-0805		R0805			
R81	10K,1%			RES-0805		R0805			
R83	10K,1%			RES-0805		R0805			
R95	10K,1%			RES-0805		R0805
R19	470,1%			RES-0805		R0805			
R64	470,1%			RES-0805		R0805			
R73	470,1%			RES-0805		R0805
R23	2.2K,1%			RES-0805		R0805			
R33	2.2K,1%			RES-0805		R0805			
R35	2.2K,1%			RES-0805		R0805			
R36	2.2K,1%			RES-0805		R0805			
R37	2.2K,1%			RES-0805		R0805			
R38	2.2K,1%			RES-0805		R0805			
R47	2.2K,1%			RES-0805		R0805			
R56	2.2K,1%			RES-0805		R0805			
R60	2.2K,1%			RES-0805		R0805			
R67	2.2K,1%			RES-0805		R0805			
R70	2.2K,1%			RES-0805		R0805			
R77	2.2K,1%			RES-0805		R0805			
R90	2.2K,1%			RES-0805		R0805			
R112	2.2K,1%			RES-0805		R0805
R25	47K,1%			RES-0805		R0805
R30	1.5K,1%			RES-0805		R0805			
R42	1.5K,1%			RES-0805		R0805
R31	100,1%			RES-0805		R0805			
R32	100,1%			RES-0805		R0805			
R114	100,1%			RES-0805		R0805			
R119	100,1%			RES-0805		R0805
R34	320,1%			RES-0805		R0805			
R40	320,1%			RES-0805		R0805			
R44	320,1%			RES-0805		R0805
R39	500K,TrimPOT		POT3361			POT3361
R45	22.1K,1%		RES-0805		R0805			
R52	22.1K,1%		RES-0805		R0805
R48	100K,POT		POT-3310C		POT-3310C
R49	4.7,0.5W,1206		RES-1206		R1206
R51	124.0K,1%		RES-0805		R0805
R53	10,1%			RES-0805		R0805			
R58	10,1%			RES-0805		R0805			
R61	10,1%			RES-0805		R0805			
R85	10,1%			RES-0805		R0805			
R91	10,1%			RES-0805		R0805			
R108	10,1%			RES-0805		R0805			
R115	10,1%			RES-0805		R0805			
R120	10,1%			RES-0805		R0805
R65	330,1%			RES-0805		R0805			
R71	330,1%			RES-0805		R0805			
R93	330,1%			RES-0805		R0805
R66	180,1%			RES-0805		R0805			
R72	180,1%			RES-0805		R0805
R68	15,1%			RES-0805		R0805			
R69	15,1%			RES-0805		R0805
R78	18K,1%			RES-0805		R0805			
R79	18K,1%			RES-0805		R0805			
R111	18K,1%			RES-0805		R0805
R82	3K,1%			RES-0805		R0805			
R86	3K,1%			RES-0805		R0805			
R105	3K,1%			RES-0805		R0805
R84	150,1%			RES-0805		R0805			
R101	150,1%			RES-0805		R0805			
R102	150,1%			RES-0805		R0805			
R116	150,1%			RES-0805		R0805
R88	49.9,1%			RES-0805		R0805			
R109	49.9,1%			RES-0805		R0805
R92	47,1%, DNL		RES-0805		R0805
R94	68K,1%			RES-0805		R0805
R103	33K,1%			RES-0805		R0805
R104	15K,1%			RES-0805		R0805
R110	39K,1%			RES-0805		R0805
R117	3.3K,1%			RES-0805		R0805			
R118	3.3K,1%			RES-0805		R0805
SH1	SHUNT,0.1IN		SHUNT,0.1IN		NOPACKAGE		
SH2	SHUNT,0.1IN		SHUNT,0.1IN		NOPACKAGE		
SH3	SHUNT,0.1IN		SHUNT,0.1IN		NOPACKAGE
SP1	SCOPE_PAD		SCOPE_PAD		SCOPE_PAD		
SP2	SCOPE_PAD		SCOPE_PAD		SCOPE_PAD		
SP3	SCOPE_PAD		SCOPE_PAD		SCOPE_PAD		
SP4	SCOPE_PAD		SCOPE_PAD		SCOPE_PAD		
SP5	SCOPE_PAD		SCOPE_PAD		SCOPE_PAD		
SP6	SCOPE_PAD		SCOPE_PAD		SCOPE_PAD		
SP7	SCOPE_PAD		SCOPE_PAD		SCOPE_PAD		
SP8	SCOPE_PAD		SCOPE_PAD		SCOPE_PAD		
SP9	SCOPE_PAD		SCOPE_PAD		SCOPE_PAD
SW1	TS-02B			TS-02B			TS-02B
SW2	SW-LC2259		SW-LC2259		SW-LC2259
SW3	TS-026			TS-026			TS-026			
SW4	TS-026			TS-026			TS-026
SW5	SW-LC2259EENP		SW-LC2259		SW-LC2259
U1	STM32F405VGT6		STM32F407		LQFP100-14
U2	STMPS2141		STMPS2141		SOT23-5L
U3	EMIF02-USB03F2		EMIF02-USB03F2		ECOPACK-11
U4	DNL			I2C-EEPROM-256K		SOIC8
U5	L78M09			L78MXX			DPAK
U6	LD1117AS-33		LD1117AS33		SOT223			
U8	LD1117AS-33		LD1117AS33		SOT223
U7	LMV341			LMV341			SOT23-6			
U13	LMV341			LMV341			SOT23-6
U9	TPS54329E		TPS54329E		PSO-DDA
U10	LM386M-1		LM386M-1		SO08
U11	ADE-1			ADE-1			ADE-1
U12	PGA-103+		PGA-103+		DF782
U14	SI5351A			SI5351A			MSOP10
U15	SI570			SI570			SI570
U16	SA612A			SA612A			SO-08
X1	BU-SMA-H		BU-SMA-H		BU-SMA-H
XTAL1	XTAL-FY0800035		XTAL-FY0800035		XTAL-FY0800035
XTAL2	25MHz,TXC,SMD		XTAL-FY0800035		XTAL-FY0800035
XTAL3	ECS-10.7-15B		ECS-10.7-15B		HC49/S			
XTAL4	ECS-10.7-15B		ECS-10.7-15B		HC49/S


