"Bill of Materials from SM1000-C.sch, 199 parts, grouped by values, as of 10/30/2014 10:47:16 AM"
"Part","Qty","DEFINITION","MANUFACTURER","MFG_NUMBER","DISTRIBUTOR","DIST_NUMBER","GENERIC","ROHS","COST100",
"R18, R21, R26, R30, R31, R54, R55","7","RES 0.0 OHM 1/8W JUMP 0805 SMD","VISHAY-DALE","CRCW08050000Z0EA","DIGIKEY","541-0.0ACT-ND","Y","Y","0.024"
"R19, R20, R27, R28","4","RES 22.0 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW060322R0FKEA","DIGIKEY","541-22.0HCT-ND","Y","Y","0.025"
"R22, R36","2","RES 22.1K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW060322K1FKEA","DIGIKEY","541-22.1KHCT-ND","Y","Y","0.025"
"R23, R24","2","RES 47.0K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW060347K0FKEA","DIGIKEY","541-47.0KHCT-ND","Y","Y","0.025"
"R33, R38, R40, R41, R53, R56, R58","7","RES 2.20K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW06032K20FKEA","DIGIKEY","541-2.20KHCT-ND","Y","Y","0.025"
"R35","1","RES 124K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW0603124KFKEA","DIGIKEY","541-124KHCT-ND","Y","Y","0.025"
"R39","1","RES 4.70 OHM .5W 1% 1206 SMD","VISHAY DALE","CRCW12064R70FKEAHP","DIGIKEY","541-4.70UCT-ND","Y","Y","0.225"
"R42","1","TRIMMER 500K OHM 0.2W SMD","PANASONIC","EVM-1DSX30B55","DIGIKEY","P1D504CT-ND","Y","Y","0.339"
"R46","1","POT 100K OHM 9MM SQ RTANG PLAST","BOURNS","3310C-001-104L","DIGIKEY","3310C-001-104L-ND","N","Y","1.920"
"R47","1","TRIMMER 500 OHM 0.2W SMD","PANASONIC","EVM-1DSX30B52","DIGIKEY","P1D501CT-ND","Y","Y","0.339"
"R49","1","RES 4.70 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW06034R70FKEA","DIGIKEY","541-4.70HHCT-ND","Y","Y","0.025"
"R50","1","RES 10.0 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW060310R0FKEA","DIGIKEY","541-10.0HCT-ND","Y","Y","0.025"
"R51","1","RES 390 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW0603390RFKEA","DIGIKEY","541-390HCT-ND","Y","Y","0.025"
"R52","1","TRIMMER 1K OHM 0.2W SMD","PANASONIC","EVM-1DSX30B13","DIGIKEY","P1D102CT-ND","Y","Y","0.339"
"R57","1","RES 470 OHM 1/10W 1% 0603 SMD","VISHAY DALE","CRCW0603470RFKEA","DIGIKEY","541-470HCT-ND","Y","Y","0.035"
"SH1, SH3","2","SHUNT LP 2 POS SN","TYCO AMP","1-382811-6","DIGIKEY","A26231-ND","Y","Y","0.210"
"SPKR1","1","SPKR, 40mm,8Ohm","SHENZHEN HY ELECTRON","HY4004M-001","SHENZHEN HY ELECTRON","HY4004M-001","N","Y","0.50"
"SW1, SW2, SW4","3","4.5X4.5mm TACTILE SWIRCH RA TH","YQLXDZ","TS-026","YQLXDZ","TS-026","N","Y","0.05"
"SW3","1","SWITCH PUSH DPDT 0.1A 30V","E-SWITCH","PBH2UEENAGX","DIGIKEY","EG2655-ND","N","Y","1.332"
"SW5","1","4.5X4.5mm TACT SWITCH SMT","YQLXDZ","TS-02B","YQLXDZ.COM","TS-02B","N","Y","0.05"
"T1, T2","2","TRANSF LINE MATCHING SMD","BOURNS","SM-LP-5001E","DIGIKEY","SM-LP-5001ECT-ND","N","Y","1.506"
"U1","1","IC MCU 32BIT 1MB FLASH 100LQFP","STM","STM32F405VGT6","DIGIKEY","497-11910-ND","N","Y","9.364"
"U2","1","IC REG LDO 3.3V 0.15A SOT23-5","STM","LD3985M33R","DIGIKEY","497-3504-1-ND","N","Y","0.466"
"U3","1","IC PWR SWITCH 1CH 500MA SOT23-5","STM","STMPS2141STR","DIGIKEY","497-6933-1-ND","N","Y","0.480"
"U4","1","I C EMI FILTR/ESD PROT 11FLIPCHIP","STM","EMIF02-USB03F2","DIGIKEY","497-13521-1-ND","N","Y","0.525"
"U5","1","IC REG BUCK SYNC ADJ 3A 8SOPWR","TI","TPS54329EDDAR","DIGIKEY","296-29856-1-ND","N","Y","1.650"
"U6, U7, U9","3","IC OPAMP GP 1MHZ RRO SOT23-","TI","LMV341IDBVR","DIGIKEY","296-17843-1-ND","N","Y","0.556"
"U8","1","IC AMP AUDIO PWR .325W AB 8SOIC","TI","LM386MX-1/NOPB","DIGIKEY","LM386MX-1/NOPBCT-ND","N","Y","0.687"
"XTAL1","1","CRYSTAL 8MHZ 20PF SMD","CTS","405C35E08M00000","DIGIKEY","405C35E08M00000-ND","Y","Y","0.550"
