"Bill of Materials from SM1000.sch, 138 parts, grouped by values, as of 4/9/2014 8:29:40 PM",,,,,,,,,,
,,,,,,,,,,
Part,Qty,DEFINITION,MANUFACTURER,MFG_NUMBER,DISTRIBUTOR,DIST_NUMBER,GENERIC,ROHS,COST100,COST EXT
R35,1,RES 124K OHM 1/10W 1% 0603 SMD,VISHAY-DALE,CRCW0603124KFKEA,DIGIKEY,541-124KHCT-ND,Y,Y,0.025,0.025
"R36, R39",2,RES 22.1K OHM 1/10W 1% 0603 SMD,VISHAY-DALE,CRCW060322K1FKEA,DIGIKEY,541-22.1KHCT-ND,Y,Y,0.025,0.050
R37,1,RES 100 OHM 1/10W 1% 0603 SMD,VISHAY-DALE,CRCW0603100RFKEA,DIGIKEY,541-100HCT-ND,Y,Y,0.025,0.025
R41,1,RES 240 OHM 1/10W 1% 0603 SMD,VISHAY-DALE,CRCW0603240RFKEA,DIGIKEY,541-240HCT-ND,Y,Y,0.025,0.025
R42,1,RES 390 OHM 1/10W 1% 0603 SMD,VISHAY-DALE,CRCW0603390RFKEA,DIGIKEY,541-390HCT-ND,Y,Y,0.025,0.025
R43,1,RES 10K OHM 1/8W 5% 0805 SMD,VISHAY/DALE,CRCW080510K0JNEA,DIGIKEY,541-10KACT-ND,Y,Y,0.033,0.033
R46,1,RES 10.0 OHM 1/10W 1% 0603 SMD,VISHAY-DALE,CRCW060310R0FKEA,DIGIKEY,541-10.0HCT-ND,Y,Y,0.025,0.025
R48,1,RES 4.99K OHM 1/10W 1% 0603 SMD,VISHAY DALE,CRCW06034K99FKEA,DIGIKEY,541-4.99KHCT-ND,Y,Y,0.025,0.025
"SH1, SH2, SH3",3,SHUNT LP 2 POS SN,TYCO AMP,1-382811-6,DIGIKEY,A26231-ND,Y,Y,0.210,0.630
"SW1, SW2",2,SWITCH TACTILE SPST-NO 0.05A 12V,TE,FSM2JSMATR,DIGIKEY,450-1757-1-ND,N,Y,0.211,0.422
SW3,1,SWITCH PUSH DPDT 0.1A 30V,E-SWITCH,PBH2UEENAGX,DIGIKEY,EG2655-ND,N,Y,1.332,1.332
"T1, T2",2,TRANSF LINE MATCHING,BOURNS,LM-NP-1001-B1L,DIGIKEY,LM-NP-1001-B1L-ND,N,Y,1.388,2.776
U1,1,IC PWR SWITCH 1CH 500MA SOT23-5,STM,STMPS2141STR,DIGIKEY,497-6933-1-ND,N,Y,0.480,0.480
U2,1,I C EMI FILTR/ESD PROT 11FLIPCHIP,STM,EMIF02-USB03F2,DIGIKEY,497-13521-1-ND,N,Y,0.525,0.525
U3,1,IC MCU 32BIT 1MB FLASH 100LQFP,STM,STM32F407VGT6,DIGIKEY,497-11605-ND,N,Y,9.878,9.878
U4,1,IC REG LDO 3.3V 0.15A SOT23-5,STM,LD3985M33R,DIGIKEY,497-3504-1-ND,N,Y,0.466,0.466
U5,1,IC REG BUCK SYNC ADJ 3A 8SOPWR,TI,TPS54329EDDAR,DIGIKEY,296-29856-1-ND,N,Y,1.650,1.650
U6,1,IC AMP AUDIO PWR .325W AB 8SOIC,TI,LM386MX-1/NOPB,DIGIKEY,LM386MX-1/NOPBCT-ND,N,Y,0.687,0.687
"U7, U8",2,IC OPAMP GP 1MHZ RRO SOT23-,TI,LMV341IDBVR,DIGIKEY,296-17843-1-ND,N,Y,0.556,1.112
X1,1,CRYSTAL 8.000 MHZ 18 PF SMD,TXC,9C-8.000MAGJ-T,DIGIKEY,887-2474-1-ND,N,Y,0.273,0.273
,,,,,,,,,,
,,,,,,,,,TOTAL,37.615
