"Bill of Materials from SM1000.sch, 153 parts, grouped by values, as of 4/25/2014 10:35:43 AM"
"Part","Qty","DEFINITION","MANUFACTURER","MFG_NUMBER","DISTRIBUTOR","DIST_NUMBER","GENERIC","ROHS","COST100",
"R18, R26, R30, R31","4","RES 0.0 OHM 1/10W JUMP 0603 SMD","VISHAY-DALE","CRCW06030000Z0EA","DIGIKEY","541-0.0GCT-ND","Y","Y","0.023"
"R23, R29","2","RES 330 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW0603330RFKEA","DIGIKEY","541-330HCT-ND","Y","Y","0.025"
"R32","1","RES 47.0K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW060347K0FKEA","DIGIKEY","541-47.0KHCT-ND","G","Y","0.025"
"R33","1","RES 2.20K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW06032K20FKEA","DIGIKEY","541-2.20KHDKR-ND","Y","Y","0.030"
"R34","1","RES 10.0K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW060310K0FKEA","DIGIKEY","541-10.0KHCT-ND","Y","Y","0.025"
"R35","1","RES 124K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW0603124KFKEA","DIGIKEY","541-124KHCT-ND","Y","Y","0.025"
"R36, R39","2","RES 22.1K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW060322K1FKEA","DIGIKEY","541-22.1KHCT-ND","Y","Y","0.025"
"R37","1","RES 100 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW0603100RFKEA","DIGIKEY","541-100HCT-ND","Y","Y","0.025"
"R41","1","RES 240 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW0603240RFKEA","DIGIKEY","541-240HCT-ND","Y","Y","0.025"
"R46","1","RES 10K OHM 1/8W 5% 0805 SMD","VISHAY/DALE","CRCW080510K0JNEA","DIGIKEY","541-10KACT-ND","Y","Y","0.033"
"R47","1","RES 100K OHM 1/8W 5% 0805 SMD","VISHAY/DALE","CRCW0805100KJNEA","DIGIKEY","541-100KACT-ND","Y","Y",".024"
"R50","1","RES 10.0 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW060310R0FKEA","DIGIKEY","541-10.0HCT-ND","Y","Y","0.025"
"R51","1","RES 390 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW0603390RFKEA","DIGIKEY","541-390HCT-ND","Y","Y","0.025"
"R52, R53","2","RES 10K OHM 1/8W 5% 0805 SMD","VISHAY/DALE","CRCW080510K0JNEA","DIGIKEY","541-10KACT-ND","Y","Y","0.033"
"SH1, SH2, SH3, SH4","4","SHUNT LP 2 POS SN","TYCO AMP","1-382811-6","DIGIKEY","A26231-ND","Y","Y","0.210"
"SW2","1","SWITCH TACTILE SPST-NO 0.05A 12V","TE","FSM2JSMATR","DIGIKEY","450-1757-1-ND","N","Y","0.211"
"SW3","1","SWITCH PUSH DPDT 0.1A 30V","E-SWITCH","PBH2UEENAGX","DIGIKEY","EG2655-ND","N","Y","1.332"
"T1, T2","2","TRANSF LINE MATCHING SMD","BOURNS","SM-LP-5001E","DIGIKEY","SM-LP-5001ECT-ND","N","Y","1.506"
"U1","1","IC MCU 32BIT 1MB FLASH 100LQFP","STM","STM32F407VGT6","DIGIKEY","497-11605-ND","N","Y","9.878"
"U2","1","IC REG LDO 3.3V 0.15A SOT23-5","STM","LD3985M33R","DIGIKEY","497-3504-1-ND","N","Y","0.466"
"U3","1","IC PWR SWITCH 1CH 500MA SOT23-5","STM","STMPS2141STR","DIGIKEY","497-6933-1-ND","N","Y","0.480"
"U4","1","I C EMI FILTR/ESD PROT 11FLIPCHIP","STM","EMIF02-USB03F2","DIGIKEY","497-13521-1-ND","N","Y","0.525"
"U5","1","IC REG BUCK SYNC ADJ 3A 8SOPWR","TI","TPS54329EDDAR","DIGIKEY","296-29856-1-ND","N","Y","1.650"
"U6, U7","2","IC OPAMP GP 1MHZ RRO SOT23-","TI","LMV341IDBVR","DIGIKEY","296-17843-1-ND","N","Y","0.556"
"U8","1","IC AMP AUDIO PWR .325W AB 8SOIC","TI","LM386MX-1/NOPB","DIGIKEY","LM386MX-1/NOPBCT-ND","N","Y","0.687"
"X1","1","CRYSTAL 8.000 MHZ 18 PF SMD","TXC","9C-8.000MAGJ-T","DIGIKEY","887-2474-1-ND","N","Y","0.273"
